source_file,line_number,raw_line,cleaned_name,metadata
2005_06_text.txt,136,Susan Ellacott,Susan Ellacott,
2005_06_text.txt,144,Nancy Fahlgren,Nancy Fahlgren,
2005_06_text.txt,150,Suzy Franklyn (Part-Time),Suzy Franklyn,Part-Time
2005_06_text.txt,159,Dan Helsberg (Part-Time),Dan Helsberg,Part-Time
2005_06_text.txt,168,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2005_06_text.txt,171,Sean Henry,Sean Henry,
2005_06_text.txt,177,Elki Homsi,Elki Homsi,
2005_06_text.txt,191,Linda Joss (Part-Time),Linda Joss,Part-Time
2005_06_text.txt,204,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2005_06_text.txt,209,Greg Joy,Greg Joy,
2005_06_text.txt,223,Caroline King,Caroline King,
2005_06_text.txt,228,Elizabeth Leighton,Elizabeth Leighton,
2005_06_text.txt,239,Ontario Rental Housing Tribunal,Ontario Rental Housing Tribunal,
2005_06_text.txt,251,Wayne MacKinnon,Wayne MacKinnon,
