report_id,app_code,description,metric_id,value,data_status
2023_2024,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,cases,202,reported
2023_2024,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,defaults,-,not_reported
2023_2024,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,hearings,-,not_reported
2023_2024,C1/2,Combined C1 and C2 Applications,cases,96,reported
2023_2024,C1/2,Combined C1 and C2 Applications,defaults,-,not_reported
2023_2024,C1/2,Combined C1 and C2 Applications,hearings,-,not_reported
2023_2024,C2,End the Occupancy of the Member Unit and Evict the Member,cases,94,reported
2023_2024,C2,End the Occupancy of the Member Unit and Evict the Member,defaults,-,not_reported
2023_2024,C2,End the Occupancy of the Member Unit and Evict the Member,hearings,-,not_reported
2023_2024,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,cases,3,reported
2023_2024,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,defaults,-,not_reported
2023_2024,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,hearings,-,not_reported
2023_2024,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,cases,18,reported
2023_2024,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,defaults,-,not_reported
2023_2024,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,hearings,-,not_reported
2024_2025,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,cases,198,reported
2024_2025,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,defaults,-,not_reported
2024_2025,C1,End the Occupancy and Evict the Member for Non-payment of Regular Monthly Housing Charges and Collect Housing Charges Owed,hearings,-,not_reported
2024_2025,C1/2,Combined C1 and C2 Applications,cases,134,reported
2024_2025,C1/2,Combined C1 and C2 Applications,defaults,-,not_reported
2024_2025,C1/2,Combined C1 and C2 Applications,hearings,-,not_reported
2024_2025,C2,End the Occupancy of the Member Unit and Evict the Member,cases,102,reported
2024_2025,C2,End the Occupancy of the Member Unit and Evict the Member,defaults,-,not_reported
2024_2025,C2,End the Occupancy of the Member Unit and Evict the Member,hearings,-,not_reported
2024_2025,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,cases,5,reported
2024_2025,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,defaults,-,not_reported
2024_2025,C3,End the Occupancy and Evict the Member – Member's Consent or Notice,hearings,-,not_reported
2024_2025,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,cases,118,reported
2024_2025,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,defaults,-,not_reported
2024_2025,C4,End the Occupancy and Evict the Member – Member Failed to Meet Conditions of a Settlement or Order,hearings,-,not_reported
