report_id,app_code,description,metric_id,value,data_status
2004_2005,A4,Vary Rent Reduction Amount,cases,144,reported
2004_2005,A4,Vary Rent Reduction Amount,defaults,0,reported
2004_2005,A4,Vary Rent Reduction Amount,hearings,181,reported
2004_2005,L1,Termination for Non-Payment of Rent,cases,55877,reported
2004_2005,L1,Termination for Non-Payment of Rent,defaults,31590,reported
2004_2005,L1,Termination for Non-Payment of Rent,hearings,18024,reported
2004_2005,L2,Terminate Tenancy & Evict,cases,5671,reported
2004_2005,L2,Terminate Tenancy & Evict,defaults,1185,reported
2004_2005,L2,Terminate Tenancy & Evict,hearings,3409,reported
2004_2005,L3,Termination: Tenant Gave Notice,cases,1059,reported
2004_2005,L3,Termination: Tenant Gave Notice,defaults,766,reported
2004_2005,L3,Termination: Tenant Gave Notice,hearings,383,reported
2004_2005,L4,Terminate Tenancy: Failed Settlement,cases,2648,reported
2004_2005,L4,Terminate Tenancy: Failed Settlement,defaults,2236,reported
2004_2005,L4,Terminate Tenancy: Failed Settlement,hearings,803,reported
2004_2005,L5,Rent Increase Above Guidelines,cases,274,reported
2004_2005,L5,Rent Increase Above Guidelines,defaults,0,reported
2004_2005,L5,Rent Increase Above Guidelines,hearings,251,reported
2004_2005,L6,Review of Provincial Work Order,cases,19,reported
2004_2005,L6,Review of Provincial Work Order,defaults,0,reported
2004_2005,L6,Review of Provincial Work Order,hearings,18,reported
2004_2005,L7,Transfer Tenant to Care Home,cases,2,reported
2004_2005,L7,Transfer Tenant to Care Home,defaults,0,reported
2004_2005,L7,Transfer Tenant to Care Home,hearings,1,reported
2004_2005,L8,Tenant Changed Locks,cases,23,reported
2004_2005,L8,Tenant Changed Locks,defaults,0,reported
2004_2005,L8,Tenant Changed Locks,hearings,16,reported
2004_2005,T1,Rent Rebate (eg. Illegal rent),cases,545,reported
2004_2005,T1,Rent Rebate (eg. Illegal rent),defaults,31,reported
2004_2005,T1,Rent Rebate (eg. Illegal rent),hearings,369,reported
2004_2005,T2,Tenant Rights,cases,3075,reported
2004_2005,T2,Tenant Rights,defaults,0,reported
2004_2005,T2,Tenant Rights,hearings,2226,reported
2004_2005,T3,Rent Reduction,cases,71,reported
2004_2005,T3,Rent Reduction,defaults,0,reported
2004_2005,T3,Rent Reduction,hearings,48,reported
2004_2005,T4,Failed Rent Increase Above Guidelines,cases,2,reported
2004_2005,T4,Failed Rent Increase Above Guidelines,defaults,0,reported
2004_2005,T4,Failed Rent Increase Above Guidelines,hearings,3,reported
2004_2005,T5,Bad Faith Notice of Termination,cases,114,reported
2004_2005,T5,Bad Faith Notice of Termination,defaults,0,reported
2004_2005,T5,Bad Faith Notice of Termination,hearings,80,reported
2004_2005,T6,Maintenance,cases,1245,reported
2004_2005,T6,Maintenance,defaults,0,reported
2004_2005,T6,Maintenance,hearings,874,reported
2005_2006,A1,Determine Whether Act Applies,cases,67,reported
2005_2006,A1,Determine Whether Act Applies,defaults,0,reported
2005_2006,A1,Determine Whether Act Applies,hearings,45,reported
2005_2006,A2,Sublet or Assignment,cases,245,reported
2005_2006,A2,Sublet or Assignment,defaults,31,reported
2005_2006,A2,Sublet or Assignment,hearings,174,reported
2005_2006,A3,Combined Application,cases,4094,reported
2005_2006,A3,Combined Application,defaults,402,reported
2005_2006,A3,Combined Application,hearings,2977,reported
2005_2006,A4,Vary Rent Reduction Amount,cases,9,reported
2005_2006,A4,Vary Rent Reduction Amount,defaults,0,reported
2005_2006,A4,Vary Rent Reduction Amount,hearings,75,reported
2005_2006,L1,Termination for Non-Payment of Rent,cases,60446,reported
2005_2006,L1,Termination for Non-Payment of Rent,defaults,29697,reported
2005_2006,L1,Termination for Non-Payment of Rent,hearings,22170,reported
2005_2006,L2,Terminate Tenancy & Evict,cases,5969,reported
2005_2006,L2,Terminate Tenancy & Evict,defaults,852,reported
2005_2006,L2,Terminate Tenancy & Evict,hearings,3678,reported
2005_2006,L3,Termination: Tenant Gave Notice,cases,1077,reported
2005_2006,L3,Termination: Tenant Gave Notice,defaults,733,reported
2005_2006,L3,Termination: Tenant Gave Notice,hearings,394,reported
2005_2006,L4,Terminate Tenancy: Failed Settlement,cases,3268,reported
2005_2006,L4,Terminate Tenancy: Failed Settlement,defaults,2672,reported
2005_2006,L4,Terminate Tenancy: Failed Settlement,hearings,1080,reported
2005_2006,L5,Rent Increase Above Guidelines,cases,209,reported
2005_2006,L5,Rent Increase Above Guidelines,defaults,0,reported
2005_2006,L5,Rent Increase Above Guidelines,hearings,229,reported
2005_2006,L6,Review of Provincial Work Order,cases,3,reported
2005_2006,L6,Review of Provincial Work Order,defaults,0,reported
2005_2006,L6,Review of Provincial Work Order,hearings,5,reported
2005_2006,L7,Transfer Tenant to Care Home,cases,0,reported
2005_2006,L7,Transfer Tenant to Care Home,defaults,0,reported
2005_2006,L7,Transfer Tenant to Care Home,hearings,0,reported
2005_2006,L8,Tenant Changed Locks,cases,38,reported
2005_2006,L8,Tenant Changed Locks,defaults,0,reported
2005_2006,L8,Tenant Changed Locks,hearings,29,reported
2005_2006,T1,Rent Rebate (eg. Illegal rent),cases,620,reported
2005_2006,T1,Rent Rebate (eg. Illegal rent),defaults,30,reported
2005_2006,T1,Rent Rebate (eg. Illegal rent),hearings,399,reported
2005_2006,T2,Tenant Rights,cases,3391,reported
2005_2006,T2,Tenant Rights,defaults,1,reported
2005_2006,T2,Tenant Rights,hearings,2442,reported
2005_2006,T3,Rent Reduction,cases,68,reported
2005_2006,T3,Rent Reduction,defaults,0,reported
2005_2006,T3,Rent Reduction,hearings,46,reported
2005_2006,T4,Failed Rent Increase Above Guidelines,cases,0,reported
2005_2006,T4,Failed Rent Increase Above Guidelines,defaults,0,reported
2005_2006,T4,Failed Rent Increase Above Guidelines,hearings,0,reported
2005_2006,T5,Bad Faith Notice of Termination,cases,99,reported
2005_2006,T5,Bad Faith Notice of Termination,defaults,0,reported
2005_2006,T5,Bad Faith Notice of Termination,hearings,99,reported
2005_2006,T6,Maintenance,cases,1397,reported
2005_2006,T6,Maintenance,defaults,0,reported
2005_2006,T6,Maintenance,hearings,948,reported
2006_2007,A1,Determine Whether Act Applies,cases,58,reported
2006_2007,A1,Determine Whether Act Applies,defaults,0,reported
2006_2007,A1,Determine Whether Act Applies,hearings,52,reported
2006_2007,A2,Sublet or Assignment,cases,216,reported
2006_2007,A2,Sublet or Assignment,defaults,33,reported
2006_2007,A2,Sublet or Assignment,hearings,167,reported
2006_2007,A3,Combined Application,cases,3268,reported
2006_2007,A3,Combined Application,defaults,267,reported
2006_2007,A3,Combined Application,hearings,2669,reported
2006_2007,A4,Vary Rent Reduction Amount,cases,125,reported
2006_2007,A4,Vary Rent Reduction Amount,defaults,6,reported
2006_2007,A4,Vary Rent Reduction Amount,hearings,87,reported
2006_2007,L1,Termination for Non-Payment of Rent,cases,50683,reported
2006_2007,L1,Termination for Non-Payment of Rent,defaults,24779,reported
2006_2007,L1,Termination for Non-Payment of Rent,hearings,21661,reported
2006_2007,L2,Terminate Tenancy & Evict,cases,5089,reported
2006_2007,L2,Terminate Tenancy & Evict,defaults,661,reported
2006_2007,L2,Terminate Tenancy & Evict,hearings,3677,reported
2006_2007,L3,Termination: Tenant Gave Notice,cases,991,reported
2006_2007,L3,Termination: Tenant Gave Notice,defaults,657,reported
2006_2007,L3,Termination: Tenant Gave Notice,hearings,416,reported
2006_2007,L4,Terminate Tenancy: Failed Settlement,cases,2683,reported
2006_2007,L4,Terminate Tenancy: Failed Settlement,defaults,2186,reported
2006_2007,L4,Terminate Tenancy: Failed Settlement,hearings,984,reported
2006_2007,L5,Rent Increase Above Guidelines,cases,242,reported
2006_2007,L5,Rent Increase Above Guidelines,defaults,0,reported
2006_2007,L5,Rent Increase Above Guidelines,hearings,245,reported
2006_2007,L6,Review of Provincial Work Order,cases,5,reported
2006_2007,L6,Review of Provincial Work Order,defaults,0,reported
2006_2007,L6,Review of Provincial Work Order,hearings,4,reported
2006_2007,L7,Transfer Tenant to Care Home,cases,0,reported
2006_2007,L7,Transfer Tenant to Care Home,defaults,0,reported
2006_2007,L7,Transfer Tenant to Care Home,hearings,0,reported
2006_2007,L8,Tenant Changed Locks,cases,16,reported
2006_2007,L8,Tenant Changed Locks,defaults,0,reported
2006_2007,L8,Tenant Changed Locks,hearings,12,reported
2006_2007,T1,Rent Rebate (eg. Illegal rent),cases,498,reported
2006_2007,T1,Rent Rebate (eg. Illegal rent),defaults,27,reported
2006_2007,T1,Rent Rebate (eg. Illegal rent),hearings,396,reported
2006_2007,T2,Tenant Rights,cases,2887,reported
2006_2007,T2,Tenant Rights,defaults,0,reported
2006_2007,T2,Tenant Rights,hearings,2330,reported
2006_2007,T3,Rent Reduction,cases,57,reported
2006_2007,T3,Rent Reduction,defaults,0,reported
2006_2007,T3,Rent Reduction,hearings,46,reported
2006_2007,T4,Failed Rent Increase Above Guidelines,cases,0,reported
2006_2007,T4,Failed Rent Increase Above Guidelines,defaults,0,reported
2006_2007,T4,Failed Rent Increase Above Guidelines,hearings,0,reported
2006_2007,T5,Bad Faith Notice of Termination,cases,88,reported
2006_2007,T5,Bad Faith Notice of Termination,defaults,0,reported
2006_2007,T5,Bad Faith Notice of Termination,hearings,69,reported
2006_2007,T6,Maintenance,cases,1217,reported
2006_2007,T6,Maintenance,defaults,1,reported
2006_2007,T6,Maintenance,hearings,966,reported
2007_2008,A1,Determine Whether Act Applies,cases,75,reported
2007_2008,A1,Determine Whether Act Applies,defaults,-,not_reported
2007_2008,A1,Determine Whether Act Applies,hearings,-,not_reported
2007_2008,A2,Sublet or Assignment,cases,285,reported
2007_2008,A2,Sublet or Assignment,defaults,-,not_reported
2007_2008,A2,Sublet or Assignment,hearings,-,not_reported
2007_2008,A3,Combined Application,cases,4005,reported
2007_2008,A3,Combined Application,defaults,-,not_reported
2007_2008,A3,Combined Application,hearings,-,not_reported
2007_2008,A4,Vary Rent Reduction Amount,cases,29,reported
2007_2008,A4,Vary Rent Reduction Amount,defaults,-,not_reported
2007_2008,A4,Vary Rent Reduction Amount,hearings,-,not_reported
2007_2008,L1,Termination for Non-Payment of Rent,cases,55719,reported
2007_2008,L1,Termination for Non-Payment of Rent,defaults,-,not_reported
2007_2008,L1,Termination for Non-Payment of Rent,hearings,-,not_reported
2007_2008,L2,Terminate Tenancy & Evict,cases,6441,reported
2007_2008,L2,Terminate Tenancy & Evict,defaults,-,not_reported
2007_2008,L2,Terminate Tenancy & Evict,hearings,-,not_reported
2007_2008,L3,Termination: Tenant Gave Notice,cases,1225,reported
2007_2008,L3,Termination: Tenant Gave Notice,defaults,-,not_reported
2007_2008,L3,Termination: Tenant Gave Notice,hearings,-,not_reported
2007_2008,L4,Terminate Tenancy: Failed Settlement,cases,5374,reported
2007_2008,L4,Terminate Tenancy: Failed Settlement,defaults,-,not_reported
