report_id,application_family,description,party_type,filings,share_of_total
2010_2011,A3,Combined Application,mixed_other,4290,0.05543136976212319
2010_2011,A4,Vary the Amount of a Rent Reduction,mixed_other,182,0.002351633868696135
2010_2011,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,53182,0.6871680901373509
2010_2011,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
2010_2011,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,6158,0.07956791957929012
2010_2011,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,1075,0.013890145103562337
2010_2011,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,4805,0.062085718346620494
2010_2011,L5,Rent Increase Above the Guideline (AGI),landlord,391,0.005052136498132906
2010_2011,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,7,9.04474564883129e-05
2010_2011,L7,Transfer a Care Home Tenant,landlord,1,1.2921065212616129e-05
2010_2011,L8,Tenant Changed the Locks,landlord,26,0.0003359476955280193
2010_2011,L9,Collect Rent the Tenant Owes,landlord,1499,0.019368676753711577
2010_2011,T1,Application for a Rebate,tenant,520,0.006718953910560386
2010_2011,T2,Tenant Rights,tenant,3587,0.046347860917654055
2010_2011,T3,Rent Reduction,tenant,43,0.0005556058041424935
2010_2011,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,1,1.2921065212616129e-05
2010_2011,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,128,0.0016538963472148645
2010_2011,T6,Maintenance,tenant,1171,0.015130567363973486
2010_2011,T7,Suite Meters,tenant,1,1.2921065212616129e-05
2011_2012,A1,Determine Whether the Act Applies,mixed_other,86,0.0010606284840412412
2011_2012,A2,Sublet or an Assignment,mixed_other,291,0.0035888708006511765
2011_2012,A3,Combined Application,mixed_other,5171,0.06377337082531695
2011_2012,A4,Vary the Amount of a Rent Reduction,mixed_other,107,0.0013196191603768931
2011_2012,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,54847,0.6764219821419762
2011_2012,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
2011_2012,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,6867,0.08468995116175818
2011_2012,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,1263,0.015576439248187066
2011_2012,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,4905,0.0604928222583987
2011_2012,L5,Rent Increase Above the Guideline (AGI),landlord,252,0.003107888116027823
2011_2012,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,13,0.00016032756154111784
2011_2012,L7,Transfer a Care Home Tenant,landlord,1,1.2332889349316758e-05
2011_2012,L8,Tenant Changed the Locks,landlord,21,0.00025899067633565194
2011_2012,L9,Collect Rent the Tenant Owes,landlord,1664,0.020521927877263084
2011_2012,T1,Application for a Rebate,tenant,578,0.007128410043905086
2011_2012,T2,Tenant Rights,tenant,3548,0.043757091411375855
2011_2012,T3,Rent Reduction,tenant,65,0.0008016378077055893
2011_2012,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,1,1.2332889349316758e-05
2011_2012,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,139,0.0017142716195550293
2011_2012,T6,Maintenance,tenant,1264,0.015588772137536382
2011_2012,T7,Suite Meters,tenant,1,1.2332889349316758e-05
2012_2013,A1,Determine Whether the Act Applies,mixed_other,92,0.001119330348452404
2012_2013,A2,Sublet or an Assignment,mixed_other,282,0.003430990850691065
2012_2013,A3,Combined Application,mixed_other,5278,0.06421549542534553
2012_2013,A4,Vary the Amount of a Rent Reduction,mixed_other,210,0.0025549931866848353
2012_2013,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,54777,0.6664517227954059
2012_2013,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
2012_2013,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,7102,0.08640743624683668
2012_2013,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,1225,0.014904126922328207
2012_2013,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,5549,0.0675126532995912
2012_2013,L5,Rent Increase Above the Guideline (AGI),landlord,296,0.003601323729803387
2012_2013,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,11,0.00013383297644539615
2012_2013,L7,Transfer a Care Home Tenant,landlord,0,0.0
2012_2013,L8,Tenant Changed the Locks,landlord,45,0.0005474985400038934
2012_2013,L9,Collect Rent the Tenant Owes,landlord,1620,0.01970994744014016
2012_2013,T1,Application for a Rebate,tenant,618,0.007518979949386801
2012_2013,T2,Tenant Rights,tenant,3676,0.04472454740120693
2012_2013,T3,Rent Reduction,tenant,58,0.000705664784893907
2012_2013,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,1,1.2166634222308741e-05
2012_2013,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,152,0.0018493284017909286
2012_2013,T6,Maintenance,tenant,1198,0.014575627798325871
2012_2013,T7,Suite Meters,tenant,2,2.4333268444617483e-05
2013_2014,A1,Determine Whether the Act Applies,mixed_other,92,0.001125409795958311
2013_2014,A2,Sublet or an Assignment,mixed_other,287,0.0035107892547829914
2013_2014,A3,Combined Application,mixed_other,5889,0.07203845965650536
2013_2014,A4,Vary the Amount of a Rent Reduction,mixed_other,135,0.0016514165484170867
2013_2014,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,52832,0.6462788080442335
2013_2014,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
2013_2014,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,7312,0.0894456133483388
2013_2014,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,1179,0.014422371189509224
2013_2014,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,5955,0.07284581885795371
2013_2014,L5,Rent Increase Above the Guideline (AGI),landlord,438,0.005357929245975437
2013_2014,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,3,3.66981455203797e-05
2013_2014,L7,Transfer a Care Home Tenant,landlord,4,4.8930860693839605e-05
2013_2014,L8,Tenant Changed the Locks,landlord,21,0.0002568870186426579
2013_2014,L9,Collect Rent the Tenant Owes,landlord,1800,0.02201888731222782
2013_2014,T1,Application for a Rebate,tenant,663,0.008110290160003914
2013_2014,T2,Tenant Rights,tenant,3600,0.04403777462445564
2013_2014,T3,Rent Reduction,tenant,51,0.000623868473846455
2013_2014,T4,Landlord did not Comply with an Agreement to Increase Rent Above the Guideline,tenant,4,4.8930860693839605e-05
2013_2014,T5,Landlord Gave a Notice of Termination in Bad Faith,tenant,156,0.0019083035670597445
2013_2014,T6,Maintenance,tenant,1318,0.01612271859862015
2013_2014,T7,Suite Meters,tenant,9,0.0001100944365611391
2014_2015,A1,Determine Whether the Act Applies,mixed_other,114,0.0014333853040285672
2014_2015,A2,Sublet or an Assignment,mixed_other,318,0.0039983905849217925
2014_2015,A3,Combined Application,mixed_other,5907,0.07427199114821707
2014_2015,A4,Vary the Amount of a Rent Reduction,mixed_other,135,0.0016974299652969874
2014_2015,L1,Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes,landlord,49991,0.6285646029271237
2014_2015,L10,Collect Money a Former Tenant Owes,landlord,0,0.0
2014_2015,L2,End a Tenancy and Evict a Tenant or Collect Money,landlord,7983,0.10037469194789518
2014_2015,L3,End a Tenancy – Tenant Gave Notice or Agreed to Terminate,landlord,1208,0.015188854800583414
2014_2015,L4,End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order,landlord,5632,0.07081426344113062
2014_2015,L5,Rent Increase Above the Guideline (AGI),landlord,548,0.006890308303575919
2014_2015,L6,Review of a Work Order about Provincial Maintenance Standards,landlord,8,0.00010058844238796962
2014_2015,L7,Transfer a Care Home Tenant,landlord,0,0.0
2014_2015,L8,Tenant Changed the Locks,landlord,31,0.0003897802142533823
2014_2015,L9,Collect Rent the Tenant Owes,landlord,1735,0.021815118442890913
2014_2015,T1,Application for a Rebate,tenant,716,0.00900266559372328
2014_2015,T2,Tenant Rights,tenant,3441,0.043265603782125434
2014_2015,T3,Rent Reduction,tenant,69,0.000867575315596238
